,Virginia,California,Florida,New York,New Jersey,Texas,Michigan,Massachusetts,Arizona,Washington,Colorado,Illinois,the District of Columbia,Nevada,Hawaii,New Hampshire,Utah,Georgia,Montana,Minnesota,Louisiana,Maryland,Pennsylvania,South Carolina,North Carolina,Vermont,Tennessee,Oregon,New Mexico,Rhode Island,Alaska,Maine,Alabama,Wisconsin,Arkansas,Mississippi,Indiana,West Virginia,Idaho,North Dakota,Connecticut,Kentucky,Missouri,Kansas,Delaware,Wyoming,Oklahoma,South Dakota,Nebraska,Iowa,Ohio
2013-12-01,230076.50973972367,373601.2689475015,156706.43691172538,261306.75866435957,284827.55829687614,147458.70446742687,112771.3015846787,315392.5854072556,186857.81606847708,249357.3797523408,248815.283624046,152737.10566942903,444205.2444580484,181418.1170607877,460817.56725525606,213442.750775596,222877.91015463354,137552.41834763493,196294.99035739747,180589.8758617202,157634.40514365412,261446.0210610598,155396.055285911,144209.86074177138,153308.41435103514,223903.38276298964,137557.56213513637,229522.7868126371,163188.88643153492,218866.0958995293,263732.4240287427,178469.98328951743,129774.02997867939,154106.3222285532,120027.2454603819,109136.41517358547,115143.74664395396,100587.16776983185,171978.02162277815,198882.3641932615,234990.43396100818,108304.5054736818,125991.81883262198,118112.9145843566,220974.93533088235,210663.67480991568,112460.4675321139,162113.2501366467,133113.59863571016,124739.3380268631,114920.60517174807
2014-01-01,230426.75732498817,376867.84801750135,158248.48604296186,261694.18673252387,285753.2446206035,148461.17650971274,113477.06504306073,317167.3522043309,188047.03766223186,251082.6444606358,250090.64350423784,153581.9418599943,446669.5952576967,182871.48681742398,463154.6975039554,213875.37119321685,223643.600639742,138631.74314882408,197199.33699078587,181600.50632200504,157242.0975847343,262777.575195139,155535.71043509676,144544.33128170038,153546.1382747745,223545.03327280786,137963.03885133474,231172.1128751347,163507.01765451374,219268.81210781776,262911.83806355105,178469.10814742395,130112.56271097613,154351.1931789711,120024.0205412772,109359.6115442303,115199.99521061276,100081.86310204673,172486.1278700594,199485.64469227637,235353.21991932622,108393.39096420514,125907.37069566792,118128.24437632975,221918.34610361935,210611.82892943991,112730.28092633002,162211.79040120682,133266.38534661697,124985.11327371334,114889.44679216348
2014-02-01,230703.86109070745,379568.5032087292,159910.3234058139,262224.9528713778,287410.8818190297,149592.76133440333,114425.21394113732,318754.36412598897,189314.75200484545,252762.90917218252,251393.3736785251,154495.3378728437,449619.48336121935,184331.43250437526,465763.82739172754,214406.0582649498,224273.79992686232,139838.73713753754,198053.9590650877,182725.32278914176,156997.66745969458,264123.3085563499,155633.53851505907,145133.35569868571,154037.20043058228,223748.2614784761,138550.02669817884,232779.60076170266,164082.67697056985,219645.76832138744,262094.46392846518,178534.61558506524,130615.49291968094,154950.25524375125,120299.82547043508,109756.70759783527,115420.03335693937,99674.59789792914,173155.79931862786,199950.642366141,235604.65940648984,108559.0223132117,125905.46560245815,117991.15264872285,222295.88127680044,210657.3001614085,112868.65723275027,162131.57013593757,133479.96373932285,125002.03177029092,114999.35974716723
2014-03-01,231184.51212842032,382024.59599694656,161468.8348099979,263199.53869125777,289575.57806785224,150734.33320401717,115284.93288272852,320162.7832304382,190594.42886379082,254293.00874114942,252632.94480616399,155290.2042719014,452220.8513535769,185870.8352747953,468636.7230341974,214991.57822508784,225119.3242483342,140959.05602578222,198887.42312297923,183867.7578689882,156855.97003963098,265443.73202495254,155730.9514280119,145669.33252884707,154564.89477611496,224150.60063761173,139047.96044583392,234361.53749942585,164640.73315445264,220394.09217719486,261585.73996885854,178675.5565954491,131000.07579222054,155636.43865883944,120541.78362674448,110059.73220604703,115658.74582614825,98969.42349144351,173940.70381524414,200265.31705234537,235982.38301596776,108613.5619520647,125999.965692365,117937.04149650429,222731.10644652424,210755.5740160204,112883.00286914375,162192.1445449634,133688.48607081888,125243.19545156456,115145.14229953407
2014-04-01,231750.71056517624,385019.9444338307,162856.72186930678,264333.9481111448,291695.2978778365,151726.6525203654,116259.7243445315,321641.968156611,191553.57336181655,255646.4266002461,254055.82794169927,156102.09594969839,455491.36431587045,187727.46753876377,471638.9549521073,215545.57548683495,225848.28728493824,142106.92840222231,199636.21603304998,184909.09204452383,156921.30685119578,266878.58500875457,155974.82470886764,146225.5193766636,155115.6375454677,224426.84275142816,139670.65115643523,235916.70320361867,165013.32315446393,221618.80523889294,261977.7680299719,178931.420079043,131387.4225643142,156401.41497795237,120736.75208563876,110358.28310891341,116086.68113244994,98392.96332631183,174772.28739158067,200638.34351913887,236500.38117695824,108863.95330100833,126250.2225689907,118003.04143335181,222618.36025365037,210948.44674296645,113007.30761872769,162261.2670321754,134084.53981921953,125736.75022587644,115542.16157090281
2014-05-01,232629.24977732124,388216.29242466815,164225.64848144117,265682.5439448476,293705.7000849919,152731.848284282,117225.7376603282,323336.8508374693,192332.70930086335,257110.40865792567,255589.07178764782,156940.18159391874,458374.03214026295,189595.71933484066,474933.0566562284,216413.9428775499,226764.97701742264,143283.30320180286,200641.97731269876,185858.39150056045,157141.65892804085,268121.2785744118,156420.4217862677,146780.76776097488,155693.51617742018,225177.64670011695,140393.40885986373,237672.38822510102,165568.7677109317,222933.81746847345,262862.2265215826,179595.4588939934,131741.3171937509,157177.40431099638,121027.97579593035,110795.05970710742,116682.87809897731,97789.43307402472,175789.49507783775,201235.01979726195,237245.8046783974,109329.67035401832,126796.94372779924,118400.80376290572,223000.5508595532,211581.25034135487,113318.52466940292,162597.43370628753,134635.6536615549,126437.45955995197,116233.62045364565
2014-06-01,233231.16816501564,390848.53809894255,165360.0790043632,266612.7645120071,294898.8703338521,153752.40341898383,118324.76902028779,324638.2092614923,192887.49795990903,258179.10268348854,257148.61616908456,157835.67470031555,461190.6013172743,191736.89055305967,477659.57375879405,217177.88037995785,227369.71643667106,144268.23727260053,201436.72120001796,186447.87155415423,157705.5533182148,268837.82647738507,156891.43418429696,147331.0774648883,156182.28851334404,225854.64770544588,141158.55391930547,239079.0236242557,165869.32888529907,223755.5282373481,263315.31039007247,180367.34615023012,132000.50146976454,157804.9504942924,121438.18424688978,111413.00277271731,117327.89526010805,97718.26360123891,176568.78074332737,202124.5501355602,237673.69551028512,110017.8673220568,127497.69029408293,118924.17181986144,223277.2211442596,212092.08227011116,113841.47789258962,163075.34592165085,135207.6854062376,127188.83408505941,116975.08793086089
2014-07-01,233683.1037683053,392579.2860561264,166528.8178942202,267378.3471094956,295573.7453029041,154914.61732518088,119357.76477784698,325560.63245859445,193375.40416885065,259066.22312634837,258793.497416997,158827.76665845164,464107.86173159134,193631.36356810582,480263.54141346767,217888.27872962866,227985.32165086304,145120.61678120503,202631.4244132679,186910.57731817974,158574.0347780703,269074.61514491803,157381.43738990035,147884.18819829545,156592.98959186408,226822.47383041735,141848.3740598251,240403.07422125177,166149.22199526543,224071.73613531204,263817.4179569252,181185.85871057105,132306.40178039137,158313.53317353546,121865.6676734592,112256.07637812504,118010.5096020411,98295.79853408363,177458.61414508813,203499.31596975247,237855.43177313203,110676.25134938257,128258.82961900004,119525.39970427293,224057.10347819154,212802.268339186,114431.20419510074,163782.03352698273,135803.34879094144,127886.38516816466,117646.51652439935
2014-08-01,233967.70779188923,394096.7209565809,167523.35968771018,267833.5698883712,295793.20957410726,155959.74476991585,120173.49768216295,325936.25116473687,193820.3494565446,259673.46716821904,260450.05972794225,159646.90578371595,466734.41770875454,194948.76732598888,482574.26479190245,218317.74912427925,228554.1444539289,145792.68547693753,203686.9732431299,187239.43832672978,159265.2925439873,269225.89486844285,157622.43521301786,148202.30019704977,156808.25473338916,227401.63241185833,142270.92985645065,241590.78103656278,166049.07103587434,224092.8274031965,264287.94760497793,181552.57834682637,132576.10547279078,158596.3477879142,122259.75598896125,113190.38312841905,118572.08649234373,99274.17167143423,178147.6661701825,205089.16400457537,237632.03830369687,111105.90756397352,128873.07587973126,120057.80911078626,224720.55745046222,213399.5421600427,114970.62441795874,164558.37312442073,136333.19009725205,128323.52940152417,118040.3852032145
2014-09-01,234336.3449063073,396601.94383094134,168557.09958980136,268444.41890419205,296104.9258920147,156881.21234521046,120743.53080899722,326530.80857039185,194317.24876641054,260506.32951913355,262465.63578206504,160246.46281168738,469299.84284716286,195951.0214664596,485822.2253965106,218649.63925998542,229202.8988701357,146399.16278310327,204793.58263865384,187586.3487606712,159793.6898579331,269765.0496944115,157645.21687070836,148419.35506875403,156970.64358463863,228011.47543583895,142561.65052276035,242968.71697874056,165971.04291232352,224351.55173560037,265984.7133511896,181718.4580058671,132712.68034853213,158618.88020167933,122600.25733239383,114031.30632537387,119001.97640751745,100218.63518068333,178843.21670765986,206661.06453948037,237276.463511441,111245.24664902384,129252.89344605447,120463.64675317872,225744.3325782497,214205.02146980414,115415.95745503237,165234.75172134858,136672.98962275815,128378.28243975707,118242.54780328136
